date;time;code;MIB;S0_F0;S1_F0;S2_F0;S3_F0;S4_F0;S5_F0;S6_F0;S7_F0;S8_F0;S9_F0;S10_F0;S11_F0;S12_F0;S13_F0;S14_F0;S0_F1;S0_F2;S0_F3;S0_F4;S1_F1;S1_F2;S1_F3;S1_F4;S2_F1;S2_F2;S2_F3;S2_F4;S3_F1;S3_F2;S3_F3;S3_F4;S4_F1;S4_F2;S4_F3;S4_F4;S5_F1;S5_F2;S5_F3;S5_F4;S6_F1;S6_F2;S6_F3;S6_F4;S7_F1;S7_F2;S7_F3;S7_F4;S8_F1;S8_F2;S8_F3;S8_F4;S9_F1;S9_F2;S9_F3;S9_F4;S10_F1;S10_F2;S10_F3;S10_F4;S11_F1;S11_F2;S11_F3;S11_F4;S12_F1;S12_F2;S12_F3;S12_F4;S13_F1;S13_F2;S13_F3;S13_F4;S14_F1;S14_F2;S14_F3;S14_F4;S0_F5;S1_F5;S2_F5;S3_F5;S4_F5;S5_F5;S6_F5;S7_F5;S8_F5;S9_F5;S10_F5;S11_F5;S12_F5;S13_F5;S14_F5;ref1;ref2
26/07/2022;08:31:24;83;10;-0.42326014512983823;-0.7027685218817883;-0.6843111198851842;-0.6504442940337682;-0.8332097711332912;-0.8309341500765698;-0.13720140939420744;-0.08106854501620717;-0.6069725215758669;1,33E+11;-0.004999779344097269;2,13E+11;-0.17432696275738724;-0.00034063575420661686;-0.17449016978094187;-0.1212531087284597;-0.0074555323468997806;-0.18381844676965306;-0.004325366802420453;-0.5820369682056173;-0.008717598265251815;-0.7071458658643136;0.0004319935504275965;-0.15297167022933505;-0.019771857503301467;-0.436112791283485;-0.004640966054223604;-0.14609759893369248;-0.016557263751469122;-0.35153697693771097;-0.005482915655731555;-0.16155237947584533;-0.02663084044584112;-0.5624078906768526;-0.005148197207680472;-0.15418070444104115;-0.02701700652857259;-0.5714824657195898;-0.004936921967630439;-0.054192057282443536;-0.005663737476628776;-0.13959168401179167;0.00010784599053189229;-0.014141555786873414;-0.0037589321476128854;-0.07445400918365241;-0.00012697767245345602;-0.04820555689028572;-0.01941571129738926;-0.30960094664639726;-0.005514722727843009;-1,44E+10;-4,84E+08;-1,07E+11;-5,99E+07;-0.0001933558801443171;-8,31E+10;-0.0003319486785860158;-8,31E+10;7,07E+09;-7,02E+08;-3,87E+09;-3,38E+09;-0.004364864908673813;-0.003834874441955276;-0.03475984305259032;-0.002551658020961903;1,19E+11;-3,92E+09;7,00E+09;-7,10E+09;-0.006308022013851514;-0.003801528891050926;-0.03688312695341241;-0.002513252201576999;-1.689.370.702.063.630;-3.897.904.809.054.920;-29.790.668.288.587.900;-27.075.792.739.264.300;-367.345.124.927.303;-36.701.071.975.497.700;-7.237.982.000.068.810;-3.970.972.596.016.410;-24.179.896.930.909.200;-0.0006114036644801177;-0.15126589684073247;-0.0004986985136073999;-5.781.208.159.738.710;-0.008075118428236105;-5.837.012.312.563.650;107;125
26/07/2022;09:13:00;83;10;-0.5513089207138517;-0.7881771810552126;-0.5530713118422885;-0.7094936589906184;-0.8754606585062327;-0.8749627865436141;-0.10128018287112772;-0.03811298598524486;-0.7169826542788452;1,09E+11;-0.006976059221350388;2,13E+11;-0.2685761617646372;-0.001027944320487002;-0.2672618802645664;-0.13825954257467635;-0.012672068171611633;-0.287599112754925;-0.00478549025956247;-0.6747728589795954;-0.008248365994301345;-0.7912474370280592;0.00023427322592814955;-0.07636166006386949;-0.015463920033667053;-0.28251632449180375;-0.004993570152387056;-0.19690934822362013;-0.01797312671620168;-0.4327329413272116;-0.005116273533805604;-0.26239194705040453;-0.027040446729245216;-0.6818454562869647;-0.0037158708119020716;-0.30812741887466505;-0.02557152034596763;-0.7119190657367747;-0.0031441889137631923;-0.06246741272680592;-0.002712053399217781;-0.10433400017755969;0.00016110258490087742;-0.01640059013760279;-0.0013041137634204562;-0.03761907198753462;2,06E+10;-0.11568531061483373;-0.022395275637893036;-0.43549160319425734;-0.005249125973582189;-4,77E+10;-1,33E+09;-1,68E+10;-5,66E+08;-0.00023272244222783062;-0.00012037147118517138;-0.00048006137175021345;-0.00011518152383155923;3,39E+10;-9,08E+08;-7,89E+08;-5,92E+07;-0.017453346858012593;-0.006435218244979422;-0.08354009486700784;-0.0033879533725554674;1,82E+09;-1,23E+11;0.00018787824875579585;-2,13E+10;-0.02099932047919091;-0.006330020781707553;-0.08640077697163001;-0.0033208306170707234;-2.277.386.455.174.710;-4.413.945.368.468.510;-2.220.368.505.595.980;-30.860.614.001.009.800;-4.121.174.180.059.440;-4.212.652.575.171.180;-5.431.404.207.225.620;-1.979.818.866.169.150;-30.397.884.996.801.200;-0.0009905600951168583;-0.21064020201766348;-0.0009736494789452366;-956.140.496.790.091;-0.025438002409798814;-9.621.619.890.085.030;152;176
26/07/2022;09:42:07;83;10;-0.5441492715379326;-0.7827553042115248;-0.527450814771466;-0.6791685734196093;-0.8605453812712268;-0.8634016325170748;-0.10058350364531098;-0.03385574139022673;-0.6993619574180248;-4,03E+08;-0.0063309643072777845;-4,23E+10;-0.27592015735137726;-0.001159870725088093;-0.274197273406907;-0.09947872808189007;-0.01467256348437366;-0.28391344152502873;-0.004746719067830322;-0.6239834766544051;-0.01155478334203331;-0.7859695924520131;0.0001748512166304957;-0.03338635200025805;-0.016174930078975337;-0.2549771892049696;-0.00504782056109415;-0.15554310941594407;-0.018741470101180734;-0.40192501277734766;-0.0051287283459092465;-0.20159243246865877;-0.029269555788601312;-0.6545945030916174;-0.003950352215172414;-0.24642440684419692;-0.02831416372014494;-0.6922944954192488;-0.0033170853024084303;-0.05040932300157703;-0.003510559915281304;-0.10337016868912695;0.00014399288031786988;-0.011616016358238928;-0.0013744121485213673;-0.03393941918968194;1,73E+11;-0.03672980370071521;-0.025230612370923083;-0.40233628886345696;-0.005558012956556056;-9,14E+09;1,57E+09;5,04E+10;-7,58E+08;4,94E+11;-0.00011494053508733773;-0.00018643042683210743;-0.0001104623818125397;-2,70E+09;-7,75E+08;-2,76E+10;-5,64E+08;-0.01192785136733407;-0.006975295927166755;-0.08858294301805955;-0.003422613747633894;1,65E+10;-1,30E+11;0.0001794458756261487;-2,29E+11;-0.01610206626809456;-0.0068646474150370574;-0.09059341213568733;-0.0033815753175705844;-22.214.572.696.451.600;-43.706.068.365.977.700;-20.546.935.923.445.500;-29.071.592.665.755.200;-3.977.158.229.353.740;-40.964.684.324.504.400;-5.341.901.824.136.480;-17.407.143.924.249.600;-2.859.833.576.499;-0.0010453055637076178;-0.18634072047208863;-0.0011048656350562392;-9.795.416.687.698.750;-0.028171506432374656;-9.873.170.139.203.710;164;163
26/07/2022;10:12:17;83;10;-0.568278757867852;-0.7880838870432366;-0.5827988580781827;-0.6968715998333271;-0.8734740662570492;-0.8736030828516378;-0.10676995057605468;-0.037213690666749365;-0.7157891620353773;1,41E+11;-0.006688370731699384;8,45E+09;-0.2798534595446413;-0.001149006011268108;-0.2795644774697598;-0.12507519049578977;-0.014409982243680453;-0.30613711935608834;-0.004782851416469002;-0.6659482539500204;-0.008806034753111636;-0.7909959062585579;0.0001369971517784207;-0.0685937985002027;-0.01757665849009409;-0.31750717504171316;-0.004941854023972749;-0.18562941252874854;-0.018063745769217664;-0.42265505005111736;-0.005068167687711716;-0.24513690689380685;-0.027910491934086;-0.6775096882613809;-0.0037594369194862303;-0.26460776218001636;-0.02795427876048503;-0.7029738732202984;-0.0033193194130218782;-0.052957814178640004;-0.003745978422346183;-0.10938654656809313;0.0001500601156071831;-0.011521176016209585;-0.0015058653110301859;-0.036133822820523694;-1,29E+11;-0.045777617958692035;-0.02572079079961335;-0.4165253695493684;-0.0055910680182943515;2,88E+09;-6,66E+08;-4,59E+09;-6,04E+08;-1,05E+10;-0.00011867586543611353;-0.00022254007263593657;-0.00011547418872185578;4,03E+08;-5,08E+08;-1,00E+09;-2,80E+08;-0.011959570382767779;-0.007020530327800528;-0.08666723663169806;-0.0035341904379172597;2,30E+11;-1,36E+10;0.0002147428431113509;-2,39E+10;-0.015999735379456093;-0.0068880468534821574;-0.0894666834429573;-0.0034728499893019625;-23.540.626.091.057.000;-4.420.548.332.181.650;-2.369.374.834.889.750;-3.021.189.602.480.010;-4.094.284.678.164.730;-4.165.510.597.302.500;-5.654.254.183.877.160;-18.893.828.086.767.500;-2.945.165.133.228.410;-0.0011612251428387422;-0.19676474033968308;-0.0008625620306057306;-9.892.890.271.650.000;-0.028372847423506504;-9.963.481.451.190.270;174;178
26/07/2022;10:42:41;83;10;-0.5334338604048853;-0.7622548483588442;-0.533388453807779;-0.6602354236926172;-0.8504711469459592;-0.8546863647372245;-0.09804966138061073;-0.033866205416667926;-0.6717275131898792;-5,35E+11;-0.005793224754484692;2,25E+11;-0.2506033766869865;-0.0008875976427787944;-0.250427233913078;-0.09103347103796958;-0.014272985285860532;-0.268554587638326;-0.004838155724378582;-0.5862324657280477;-0.012684613470897966;-0.7649281463487745;0.0001153053048534423;-0.033932308458036076;-0.016001561842705948;-0.2527163259217621;-0.005215766742184472;-0.14485406726854072;-0.018228619296718537;-0.3814834213296602;-0.005135882830579971;-0.18478951650857722;-0.028762649248461336;-0.6264968860351006;-0.004281866494018777;-0.18536714758560247;-0.029834819550693156;-0.6525942148050217;-0.0038652073680307867;-0.03740109056926352;-0.004188230549863982;-0.10121984550361841;0.0001516142287228161;-0.007996518786541599;-0.0015323537425588247;-0.03296079047168547;-8,93E+09;-0.020124467376847005;-0.024201148199874352;-0.3671868215309004;-0.005711612440068054;5,18E+08;-2,66E+09;8,73E+07;-8,58E+08;0.00022676371666946265;-0.00010367805368110576;0.00010168970464906595;-0.00010533389411620626;2,53E+10;-1,82E+09;5,20E+09;-5,18E+08;-0.0052742531662278574;-0.006286440011011143;-0.06912593806336406;-0.0033254301405556772;1,60E+10;-1,02E+10;0.00017163114744472646;-1,84E+11;-0.008700352391285818;-0.006196967796330584;-0.07119003111948119;-0.0032785223089167397;-21.529.667.583.861.400;-4.248.752.764.528.230;-20.681.554.576.961.500;-28.008.523.355.154.000;-3.876.598.224.163.970;-3.936.538.306.288.850;-512.212.530.070.954;-1.700.135.600.705.460;-26.978.042.465.689.400;-0.0009503097864976169;-0.1626033772784392;-0.0005184216796849068;-8.665.345.299.859.080;-0.021620462926211417;-8.725.529.293.567.280;173;176
26/07/2022;11:12:31;83;10;-0.5169859982106442;-0.7487920518355324;-0.5352188965269532;-0.641917170150036;-0.8371292683960232;-0.8408023561251294;-0.09647435096574293;-0.0338782954079034;-0.6527246646261525;-2,01E+08;-0.005299401586250739;7,65E+09;-0.2297680855471528;-0.0007082298235940907;-0.23100083406753774;-0.11068330894803752;-0.012372011633514961;-0.2589282644188713;-0.004706387694915613;-0.6273939292188537;-0.008650254429017111;-0.7516819967791296;0.00012624487763559402;-0.06404597082137237;-0.015236022901528113;-0.2739643619387341;-0.004865736033639286;-0.16871687790514528;-0.015971359856845307;-0.37051798668959934;-0.004998802230225603;-0.21070269278074938;-0.02588613832116711;-0.6044963086031744;-0.004431236660995694;-0.2338044825508012;-0.025804382004920766;-0.6308753787900991;-0.004051100126878205;-0.050497298442127345;-0.003167760484642807;-0.09923542100859531;0.00014344878028286345;-0.011413797668397509;-0.0013013312684203393;-0.03250509168686085;-2,18E+11;-0.051018521542205236;-0.0220686352298413;-0.3586530199508713;-0.005515564205833773;-4,77E+09;-7,26E+07;1,17E+07;-5,73E+08;7,90E+10;-9,00E+10;5,69E+10;-9,60E+09;-4,08E+09;-6,29E+08;4,03E+09;-4,72E+09;-0.011979811028148074;-0.0054793361745916975;-0.06659856295547119;-0.0029871900356534245;1,52E+11;-8,76E+09;0.0001157624891940873;-1,44E+11;-0.015061108518525636;-0.005395415024308579;-0.06794760724061286;-0.0029653353287854;-20.987.846.486.735.800;-4.195.537.993.292.260;-214.162.307.872.033;-27.423.911.256.917.500;-38.102.245.780.181.800;-3.898.201.066.624.210;-5.120.070.296.427.700;-1.724.568.710.779.860;-2.658.485.408.683.080;-0.0010485239158041335;-0.15108324571309756;-0.0008681963613046528;-8.062.193.395.168.640;-0.017638180223377268;-812.488.079.411.088;151;161
26/07/2022;11:42:07;83;10;-0.4907725074647734;-0.7268273250328359;-0.4911276259910293;-0.6127360839836669;-0.8177890495527863;-0.8239132143699395;-0.08998635561915541;-0.033309573649853715;-0.6254137352923503;-4,43E+11;-0.004684534382599814;1,61E+11;-0.20243898379089884;-0.0005175977191918222;-0.20174791006115125;-0.08770366551902438;-0.012112743901173905;-0.22947353018883931;-0.0047612296129109066;-0.5448512153990847;-0.01292892381576786;-0.7295551289760625;0.00011361715241168262;-0.048042511229467955;-0.013465525190744202;-0.2239167950487033;-0.004959370543851315;-0.13400373789033088;-0.01635722112213544;-0.3383530025015059;-0.005035964677128186;-0.15859012193077676;-0.026455611295789883;-0.5555752585495077;-0.0049768679114552275;-0.171314025177715;-0.0266588962777197;-0.5764901274646865;-0.004698546934964959;-0.03409906676238339;-0.0038230789459922235;-0.09286906194150682;0.0001292978771868515;-0.007525956884022907;-0.0014682014282543173;-0.03101083616502185;-4,22E+10;-0.023238260893229057;-0.021602270787303188;-0.3265114176906163;-0.005519642412779612;-3,11E+08;7,26E+07;1,82E+11;-7,98E+08;0.00021410841119152881;-7,75E+10;0.00033064786456744183;-8,93E+10;3,68E+09;-3,87E+07;7,65E+09;-4,74E+08;-0.005474006714753871;-0.004791172302963648;-0.050219717861810856;-0.00276778292605755;1,72E+08;-5,65E+09;8,80E+10;-1,07E+11;-0.008217835242163449;-0.004747394673329051;-0.05231958409444813;-0.0027248973096866917;-1.947.470.879.042.840;-4.039.011.873.718.010;-19.026.537.768.619.400;-2.567.467.964.415.240;-3.614.367.722.214.680;-3.681.605.219.715.430;-4.705.456.088.388.960;-16.532.823.580.124.100;-2.473.850.752.396.010;-0.0005031335155347503;-0.12626333526189465;-0.0003944550884706413;-6.875.340.543.922.740;-0.013078290777312183;-6.937.525.870.861.190;141;145
26/07/2022;08:44:14;83;20;-0.2796758652079467;-0.44303576504887987;-0.3104587580660631;-0.42677992090799005;-0.5306197286161337;-0.5065113091158328;-0.05329620292189019;-0.0164575963025753;-0.3333141546165928;2,61E+11;-0.004602735372309136;-3,02E+10;-5,95E+10;-5,05E+10;-0.00015395257850041977;-0.116390515756566;-0.004324941683493681;-0.15076156629676618;-0.0023045109280103145;-0.29045825090213456;-0.009905415764616047;-0.45294532621604944;0.00039604503730446554;-0.05140790730310947;-0.007543261737989718;-0.13202503042419128;-0.003244976675483429;-0.08819675569044802;-0.009537022158696272;-0.18765728802501536;-0.004331298218013632;-0.11650150452922303;-0.014022930365798653;-0.3090265122659823;-0.004156597348407739;-0.11276477691830673;-0.012323474896975134;-0.2678976784889272;-0.004464343413154781;-0.01667188698385133;-0.00212798011575364;-0.051049948389456215;-3,76E+10;-0.0030803031375755572;-0.000525935534302383;-0.010336826266455325;-0.0001127463221440286;-0.05152343098029635;-0.00847025222365637;-0.1578002979931138;-0.0032570236217375798;7,06E+10;-1,93E+08;1,29E+10;-5,35E+08;-0.0007010835000525024;-8,35E+10;-0.001279780302439264;-6,05E+10;7,52E+09;-6,65E+07;1,32E+10;-3,89E+08;-0.00010808537865217006;9,63E+07;-9,30E+10;-1,62E+08;-0.00011148970954667939;1,75E+10;-8,79E+10;-1,29E+09;-0.00011149099113497065;1,15E+10;-9,07E+10;-1,28E+08;-12.065.964.989.430.200;-2.400.453.164.056.740;-12.056.836.340.147.300;-1.679.647.133.917.200;-2.251.012.251.319.130;-2.100.959.561.343.380;-2.703.669.298.653.030;-0.7105074104172907;-13.217.296.254.051.500;-0.00017488034767017177;-0.16431773386833134;-0.00048041456359663683;-0.00547845667216086;-0.005341477262694425;-0.005540240124968443;107;125
26/07/2022;09:13:16;83;20;-0.43623031709788723;-0.7392419246381223;-0.47061361660140005;-0.6984258095569835;-0.8216333808512537;-0.8042359294574297;-0.11503647770629465;-0.033941555456565006;-0.591964027909767;2,25E+10;-0.008259504510804243;-5,07E+10;-0.00023159896913818156;-0.00022955002856027036;-0.0002426954221730226;-0.12126319972296677;-0.009465661998466548;-0.22684508898595457;-0.0037878136671958256;-0.604308413289901;-0.009715978600532174;-0.7433408809440624;0.00035040948590510666;-0.03467613773600689;-0.013826366760824623;-0.20775116685888226;-0.004800599843332276;-0.14407582536370472;-0.0190667549634168;-0.39570350450360375;-0.005597426156883096;-0.25987973110114515;-0.02641107934059283;-0.6802492220816293;-0.0027595344148387975;-0.2489120869848233;-0.024063195707605026;-0.6314732933006317;-0.003373026657759459;-0.05040742370925481;-0.0043467051114640266;-0.11794266890433101;0.00012971720588810114;-0.006881509422607384;-0.0011801526547490526;-0.02543112617829109;-0.00015972569162448868;-0.06864745696440164;-0.01891535241179203;-0.32003334667327;-0.0050589817388861985;5,05E+08;-8,71E+08;-4,51E+09;-2,76E+08;-0.0004510659466058142;-0.00016412483929988906;-0.0015442466830335611;-0.0001196704068643398;-3,79E+10;-1,93E+08;8,15E+08;-5,45E+08;-7,77E+10;-4,62E+09;-0.00014987786328799028;-1,30E+10;-8,81E+10;-5,30E+09;-0.00015870482954971081;-1,21E+10;-7,73E+10;-5,05E+10;-0.00014630652343837502;-1,41E+10;-18.123.026.634.146.700;-41.082.942.534.831.100;-17.998.797.312.342.100;-29.336.749.046.324.900;-3.961.325.182.401.140;-37.990.633.701.797.300;-6.063.592.535.240.500;-15.438.618.712.899.200;-24.226.035.069.094.200;-0.0006384114650323715;-0.2696125228276489;-0.0008611242213914664;-0.00989141129184454;-0.010406952368162395;-0.009973508829638626;152;176
26/07/2022;09:42:22;83;20;-0.43715069220658076;-0.7301499454175706;-0.47508159670140926;-0.679327019257738;-0.8201490978410454;-0.8008942883658147;-0.10985658711722916;-0.023850352084839623;-0.5887321908264964;2,01E+11;-0.008007835144156414;1,37E+10;-0.00022090300879747612;-0.000216801455854577;-0.00024020842700435454;-0.11322278859223794;-0.010281421353374726;-0.2382081976554101;-0.0036137001760040617;-0.5966269467750833;-0.009545497945777234;-0.735131984580329;0.0003147079137224654;-0.018471842683882272;-0.014962703516603799;-0.21575457263937048;-0.004763761429732915;-0.12873771391959418;-0.01879597749521249;-0.37461716741106643;-0.005631204896347084;-0.24413756356884375;-0.02683460707889796;-0.6674161213683891;-0.002967258260010684;-0.23047811886080669;-0.02466302430335521;-0.6158474374515615;-0.003606938027271321;-0.0486486609980815;-0.004076047297083011;-0.11152377929715611;8,49E+10;-0.005998163035619614;-0.0008245989517607346;-0.019557826110467684;-7,93E+10;-0.07764012562980682;-0.018054139602393722;-0.3218564709053673;-0.0049579389498227745;1,26E+10;-3,02E+08;1,02E+11;-6,23E+08;-0.00030519165167055564;-0.000164077469217324;-0.0013447690547802827;-0.00012042017044551084;8,61E+09;-1,08E+10;6,13E+07;-5,84E+08;-6,46E+10;-3,48E+10;-6,19E+10;-2,42E+09;-7,37E+10;-2,62E+10;-7,43E+09;-2,11E+09;-7,60E+10;-2,51E+09;-8,04E+10;-2,21E+10;-18.298.093.448.373.600;-40.638.492.154.640.100;-18.147.202.763.536.900;-2.824.273.402.399.500;-3.920.486.151.632.180;-3.750.282.628.870.320;-5.800.881.187.604.200;-11.224.757.910.230.200;-24.151.422.355.317.300;-0.0005427288406105902;-0.2604301708181404;-0.0008530838458416053;-0.007746386921882194;-0.007767076399516371;-0.00814860894684003;164;163
